Form,Type,Specification,Additional,Dimension,Size ,Ends,Length ,Heat No.,Make,"Quantity
(Mtr.)",Piece,MTC No.,MTC Date,MTC Type,Location,TPI,Notes
CS,SMLS,ASTM A106/ASTM A53/API 5L GR. B,NACE MR0175/MR0103,ASME B36.10,"0.75""NB X SCH 160",PE,5-6.5 M R/L,3315548,ISMT,1910.35,326,TV334894,6/28/23,3.2 MTC,,BVIS,
CS,SMLS,ASTM A106/ASTM A53/API 5L GR. B,NACE MR0175/MR0103,ASME B36.10,"1""NB X SCH 160",PE,5-6.5 M R/L,1806P,ISMT,683.28,117,TV334619,5/28/23,3.2 MTC,,BVIS,
CS,SMLS,ASTM A106/ASTM A53/API 5L GR. B,NACE MR0175/MR0103,ASME B36.10,"2""NB X SCH 80",BE,5-6.5 M R/L,1558P,ISMT,142.45,24,TV334372,5/4/23,3.2 MTC,,BVIS,
CS,SMLS,ASTM A106/ASTM A53/API 5L GR. B,NACE MR0175/MR0103,ASME B36.10,"2""NB X SCH 80",BE,5-6.5 M R/L,1557P,ISMT,1721.2,286,TV334371,5/4/23,3.2 MTC,,BVIS,
CS,SMLS,ASTM A106/ASTM A53/API 5L GR. B,NACE MR0175/MR0103,ASME B36.10,"4""NB X SCH 120",BE,5-6.5 M R/L,1551P,ISMT,11.24,2,TV334435,5/13/23,3.2 MTC,,BVIS,
CS,SMLS,ASTM A106/ASTM A53/API 5L GR. B,NACE MR0175/MR0103,ASME B36.10,"4""NB X SCH 160",BE,5-6.5 M R/L,1551P,ISMT,88.87,14,TV334622,5/28/23,3.2 MTC,,BVIS,
CS,SMLS,ASTM A106/ASTM A53/API 5L GR. B,NACE MR0175/MR0103,ASME B36.10,"6""NB X SCH 120",BE,5-6.5 M R/L,1583P,ISMT,49.8,8,TV334376,5/4/23,3.2 MTC,,BVIS,
CS,SMLS,ASTM A106/ASTM A53/API 5L GR. B,NACE MR0175/MR0103,ASME B36.10,"8""NB X SCH STD",BE,5-6.5 M R/L,3315422,ISMT,11.12,2,TV334623,5/28/23,3.2 MTC,,BVIS,
CS,SMLS,ASTM A106/ASTM A53/API 5L GR. B,NACE MR0175/MR0103,ASME B36.10,"10""NB X SCH STD",BE,5-6.5 M R/L,4225555,ISMT,221.81,37,TV334238,4/19/23,3.2 MTC,,BVIS,
CS,SMLS,ASTM A106/ASTM A53/API 5L GR. B,NACE MR0175/MR0103,ASME B36.10,"10""NB X SCH STD",BE,5-6.5 M R/L,4225560,ISMT,367.03,61,TV334327,4/19/23,3.2 MTC,,BVIS,
CS,SMLS,ASTM A106/ASTM A53/API 5L GR. B,NACE MR0175/MR0103,ASME B36.10,"1""NB X SCH XS",PE,5-6.5 M R/L,4804297,ISMT,1544.89,252,,,3.2 MTC,,BVIS,
CS,SMLS,ASTM A106/ASTM A53/API 5L GR. B,NACE MR0175/MR0103,ASME B36.10,"1""NB X SCH XS",PE,5-6.5 M R/L,A11858,MSL,1516.17,256,,,3.2 MTC,,BVIS,
CS,SMLS,ASTM A106/ASTM A53/API 5L GR. B,NACE MR0175/MR0103,ASME B36.10,"1""NB X SCH 160",PE,5-6.5 M R/L,AA94,MSL,17.52,3,,,3.1 MTC,,,
CS,SMLS,ASTM A106/ASTM A53/API 5L GR. B,NACE MR0175/MR0103,ASME B36.10,"2""NB X SCH 160",BE,5-6.5 M R/L,2801828,ISMT,374,55,,,3.2 MTC,,BVIS,
CS,SMLS,ASTM A106/ASTM A53/API 5L GR. B,NACE MR0175/MR0103,ASME B36.10,"3""NB X SCH XS",BE,5-6.5 M R/L,3915679,ISMT,79.63,12,,,3.2 MTC,,BVIS,
CS,SMLS,ASTM A106/ASTM A53/API 5L GR. B,NACE MR0175/MR0103,ASME B36.10,"3""NB X SCH 160",BE,5-6.5 M R/L,3819352,ISMT,69.19,10,,,3.2 MTC,,BVIS,
CS,SMLS,ASTM A106/ASTM A53/API 5L GR. B,NACE MR0175/MR0103,ASME B36.10,"4""NB X SCH 120",BE,5-6.5 M R/L,16595,ISMT,31.32,5,,,3.2 MTC,,BVIS,
CS,SMLS,ASTM A106/ASTM A53/API 5L GR. B,NACE MR0175/MR0103,ASME B36.10,"10""NB X 7.10MM",BE,5-6.5 M R/L,A12572,MSL,343.75,56,,,3.2 MTC,,BVIS,
CS,SMLS,ASTM A106/ASTM A53/API 5L GR. B,NACE MR0175/MR0103,ASME B36.10,"12""NB X SCH STD",BE,5-6.5 M R/L,Y287,USTPL,89.00,15,,,3.2 MTC,,BVIS,
CS,SMLS,ASTM A106/ASTM A53/API 5L GR. B,NACE MR0175/MR0103,ASME B36.10,"12""NB X SCH STD",BE,5-6.5 M R/L,Y298,USTPL,102.14,17,,,3.2 MTC,,BVIS,
CS,SMLS,ASTM A106/ASTM A53/API 5L GR. B,NACE MR0175/MR0103,ASME B36.10,"12""NB X SCH STD",BE,5-6.5 M R/L,Y274,USTPL,116.97,20,,,3.2 MTC,,BVIS,
CS,SMLS,ASTM A106/ASTM A53/API 5L GR. B,NACE MR0175/MR0103,ASME B36.10,"12""NB X SCH STD",BE,5-6.5 M R/L,Y273,USTPL,244.28,41,,,3.2 MTC,,BVIS,
CS,SMLS,ASTM A106/ASTM A53/API 5L GR. B,NACE MR0175/MR0103,ASME B36.10,"12""NB X SCH STD",BE,5-6.5 M R/L,Y205,USTPL,24.11,4,,,3.2 MTC,,BVIS,
CS,SMLS,ASTM A106/ASTM A53/API 5L GR. B,NACE MR0175/MR0103,ASME B36.10,"12""NB X SCH STD",BE,5-6.5 M R/L,Y272,USTPL,185.14,31,,,3.2 MTC,,BVIS,
CS,SMLS,ASTM A106/ASTM A53/API 5L GR. B,NACE MR0175/MR0103,ASME B36.10,"14""NB X SCH STD",BE,5-6.5 M R/L,Y357,USTPL,278.28,45,,,3.2 MTC,,BVIS,
CS,SMLS,ASTM A106/ASTM A53/API 5L GR. B,NACE MR0175/MR0103,ASME B36.10,"14""NB X SCH STD",BE,5-6.5 M R/L,Y358,USTPL,317.15,51,,,3.2 MTC,,BVIS,
CS,SMLS,ASTM A106/ASTM A53/API 5L GR. B,NACE MR0175/MR0103,ASME B36.10,"14""NB X SCH STD",BE,5-6.5 M R/L,Y359,USTPL,55.67,9,,,3.2 MTC,,BVIS,
AS,SMLS,ASTM A335 GR. P22,,ASME B36.10,"2""NB X SCH XXS",BE,5-7 M R/L,C00329,JSL,6,1,,,3.1 MTC,,,
AS,SMLS,ASTM A335 GR. P22,,ASME B36.10,"4""NB X SCH XXS",BE,5-7 M R/L,C00329,JSL,65.49,11,,,3.1 MTC,,,
AS,SMLS,ASTM A335 GR. P22,,ASME B36.10,"4""NB X SCH 160",BE,5-7 M R/L,3323253,JSL,0.835,1,,,3.1 MTC,,,
AS,SMLS,ASTM A335 GR. P22,,ASME B36.10,"5""NB X SCH 160",BE,5-7 M R/L,E95185 & F27296,JSL,8.63,2,,,3.1 MTC,,,
AS,SMLS,ASTM A335  GR. P9,,ASME B36.10,"10"" NB X SCH XS",BE,5-7 M R/L,23304077,RATNADEEP,12.71,2,,,,,,
AS,SMLS,ASTM A335  GR. P5,,ASME B36.10,"6""NB X SCH 40",BE,5-7 M R/L,8861P,KF,10.98,2,,,,,,
AS,SMLS,ASTM A335  GR. P5,,ASME B36.10,"6""NB X SCH 80",BE,5-7 M R/L,8861P,KF,6.47,1,,,,,,
AS,SMLS,ASTM A335  GR. P5,,ASME B36.10,"6""NB X SCH 80",BE,10-12 M R/L,9089G,ISMT,11.55,1,,,,,,
AS,SMLS,ASTM A335  GR. P5,,ASME B36.10,"14""NB X SCH 60",BE,5-7 M R/L,U20,MSL,19.38,3,,,,,,
AS,SMLS,ASTM A335  GR. P5,,ASME B36.10,,,5-7 M R/L,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,